campaign_id,channel,start_date,end_date,budget
67,Organic Social,2025-02-21,2025-03-20,5596.67
68,Influencer,2025-08-26,2025-09-16,14734.6
69,Google Ads,2025-09-06,2025-10-02,35801.44
70,Facebook Ads,2025-08-05,2025-08-24,16126.9
71,Affiliate,2025-01-17,2025-01-30,21908.03
72,Organic Social,2025-05-05,2025-05-15,2253.72
73,Influencer,2025-05-18,2025-06-08,13512.19
74,Facebook Ads,2025-09-25,2025-10-05,16917.69
75,Organic Search,2025-02-02,2025-03-04,4824.77
76,Display Ads,2025-09-20,2025-10-06,26765.05
77,Organic Social,2025-05-07,2025-05-28,3902.13
78,Email,2025-06-01,2025-06-21,1159.9
79,Google Ads,2025-02-02,2025-02-20,12836.98
80,Display Ads,2025-06-26,2025-07-23,30817.28
81,Organic Search,2025-04-24,2025-05-13,2590.4
82,Google Ads,2025-09-25,2025-10-22,32999.07
83,Email,2025-10-13,2025-11-07,2989.74
84,Organic Search,2025-05-05,2025-05-20,2615.32
85,Google Ads,2025-01-17,2025-02-15,17076.33
86,Affiliate,2025-09-14,2025-09-28,18638.76
87,Influencer,2025-10-05,2025-10-16,3344.3
88,Display Ads,2025-05-04,2025-05-16,46287.78
89,Affiliate,2025-02-06,2025-02-22,10768.63
90,Affiliate,2025-09-24,2025-10-10,22565.05
91,Organic Social,2025-02-15,2025-03-08,3134.45
92,Google Ads,2025-09-27,2025-10-27,39936.86
93,Facebook Ads,2025-07-20,2025-08-12,20266.6
94,Facebook Ads,2025-01-20,2025-02-11,9864.5
95,Display Ads,2025-02-06,2025-02-15,20780.37
96,Display Ads,2025-01-01,2025-01-13,49014.89
97,Email,2025-06-18,2025-07-12,3562.72
98,Facebook Ads,2025-06-26,2025-07-19,18462.54
99,Influencer,2025-07-20,2025-08-03,14701.11
100,Influencer,2025-10-24,2025-11-17,4364.87
101,Email,2025-07-03,2025-07-22,731.54
102,Affiliate,2025-05-14,2025-06-09,20909.42
103,Display Ads,2025-01-05,2025-01-13,25493.97
104,Display Ads,2025-10-03,2025-10-25,32174.2
105,Facebook Ads,2025-10-02,2025-10-27,8989.77
106,Influencer,2025-10-21,2025-10-31,12223.23
107,Display Ads,2025-02-23,2025-03-10,38411.51
108,Influencer,2025-08-21,2025-09-13,8490.23
109,Organic Social,2025-01-05,2025-01-23,1669.01
110,Organic Search,2025-08-24,2025-09-10,7365.01
111,Display Ads,2025-03-20,2025-04-13,11508.62
112,Influencer,2025-07-25,2025-08-05,2628.66
113,Facebook Ads,2025-05-06,2025-05-19,15431.09
114,Email,2025-07-23,2025-08-19,2393.82
115,Organic Social,2025-06-18,2025-06-27,1667.56
116,Organic Social,2025-07-10,2025-07-21,3297.88
117,Affiliate,2025-05-29,2025-06-08,7364.35
118,Organic Social,2025-08-17,2025-08-24,3748.37
119,Organic Search,2025-04-25,2025-05-20,4109.06
120,Affiliate,2025-07-23,2025-08-04,10248.95
121,Influencer,2025-06-22,2025-07-02,5302.97
122,Influencer,2025-09-29,2025-10-26,10633.78
123,Email,2025-07-22,2025-08-12,2098.74
124,Facebook Ads,2025-03-31,2025-04-11,17539.68
125,Organic Search,2025-10-14,2025-10-29,2777.48
126,Google Ads,2025-02-03,2025-02-10,34440.06
127,Influencer,2025-03-13,2025-03-25,9240.44
128,Organic Social,2025-05-20,2025-06-13,5224.53
129,Affiliate,2025-08-30,2025-09-29,16219.69
130,Affiliate,2025-02-28,2025-03-24,23698.05
131,Affiliate,2025-09-13,2025-10-11,6150.23
132,Display Ads,2025-01-25,2025-02-04,41689.56
133,Email,2025-07-12,2025-08-06,1670.11
134,Organic Search,2025-03-09,2025-03-23,6867.83
135,Organic Search,2025-02-18,2025-03-08,2291.1
136,Affiliate,2025-08-23,2025-09-16,4691.53
137,Organic Search,2025-04-02,2025-05-02,7596.02
138,Organic Social,2025-06-24,2025-07-04,3827.89
139,Influencer,2025-09-25,2025-10-05,4586.45
140,Affiliate,2025-02-04,2025-02-17,6315.02
141,Influencer,2025-06-04,2025-06-22,15357.48
142,Google Ads,2025-07-14,2025-08-11,16124.42
143,Affiliate,2025-04-26,2025-05-19,19753.0
144,Google Ads,2025-05-21,2025-06-14,16448.43
145,Display Ads,2025-07-20,2025-08-12,28287.05
146,Email,2025-03-30,2025-04-21,689.89
147,Display Ads,2025-09-06,2025-09-20,20494.51
148,Google Ads,2025-07-30,2025-08-26,19008.31
149,Email,2025-03-28,2025-04-06,1111.82
150,Influencer,2025-04-26,2025-05-25,2228.12
151,Influencer,2025-03-21,2025-04-13,6981.03
152,Display Ads,2025-09-17,2025-10-13,19695.1
153,Organic Social,2025-08-28,2025-09-15,3538.41
154,Organic Search,2025-10-07,2025-10-19,7787.22
155,Affiliate,2025-07-26,2025-08-12,15124.32
156,Affiliate,2025-07-12,2025-07-22,22305.02
157,Facebook Ads,2025-10-01,2025-10-19,7267.35
158,Facebook Ads,2025-04-11,2025-05-01,5160.21
159,Affiliate,2025-08-28,2025-09-26,22939.81
160,Influencer,2025-05-26,2025-06-13,2600.1
161,Display Ads,2025-09-25,2025-10-03,47144.73
162,Display Ads,2025-05-07,2025-05-16,25165.86
163,Organic Search,2025-03-07,2025-03-21,3608.78
164,Display Ads,2025-05-30,2025-06-27,47018.94
165,Organic Search,2025-05-19,2025-06-11,5185.32
166,Google Ads,2025-08-28,2025-09-09,14813.82
167,Influencer,2025-08-21,2025-09-01,6285.43
168,Influencer,2025-06-26,2025-07-23,9057.2
169,Email,2025-02-04,2025-02-15,2754.97
170,Facebook Ads,2025-01-12,2025-02-08,15991.86
171,Display Ads,2025-04-25,2025-05-23,29930.77
172,Organic Social,2025-02-10,2025-02-18,3130.02
173,Organic Social,2025-01-07,2025-01-21,2353.3
174,Influencer,2025-06-22,2025-07-06,10397.43
175,Affiliate,2025-08-16,2025-09-13,4712.57
176,Google Ads,2025-03-14,2025-04-07,37927.48
177,Influencer,2025-06-08,2025-06-28,8407.5
178,Organic Social,2025-04-26,2025-05-19,1148.23
179,Email,2025-05-28,2025-06-04,4151.09
180,Email,2025-10-07,2025-11-04,4780.7
181,Email,2025-01-22,2025-02-12,4698.19
182,Display Ads,2025-05-18,2025-06-14,12389.25
183,Organic Social,2025-08-05,2025-08-29,2798.85
184,Influencer,2025-02-06,2025-03-04,10497.65
185,Facebook Ads,2025-08-04,2025-08-25,22861.85
186,Display Ads,2025-07-20,2025-08-06,26724.31
187,Organic Social,2025-03-08,2025-03-23,2404.04
188,Organic Social,2025-05-30,2025-06-20,5447.41
189,Google Ads,2025-06-08,2025-07-01,20354.65
190,Facebook Ads,2025-03-22,2025-04-11,22619.27
191,Organic Social,2025-02-07,2025-02-18,3779.17
192,Organic Search,2025-05-31,2025-06-23,2331.83
193,Email,2025-08-03,2025-09-02,2692.88
194,Facebook Ads,2025-10-24,2025-11-11,24101.64
195,Influencer,2025-03-07,2025-04-03,8239.52
196,Organic Social,2025-10-09,2025-10-26,1531.51
197,Affiliate,2025-06-08,2025-07-08,24087.87
198,Influencer,2025-03-10,2025-03-28,16782.19
199,Email,2025-04-18,2025-05-06,1323.61
200,Google Ads,2025-06-13,2025-07-09,9433.05
